prefecture,municipalities,longitude,latitude,altitude
北海道,札幌市,141.346879,43.06431,18.6
青森県,青森市,140.740548,40.824589,2.5
岩手県,盛岡市,141.152696,39.703526,128.3
宮城県,仙台市,140.872072,38.268579,48.0
秋田県,秋田市,140.102381,39.718626,6.0
山形県,山形市,140.36369,38.240434,198.5
福島県,福島市,140.467771,37.750029,66.9
茨城県,水戸市,140.446824,36.341737,30.4
栃木県,宇都宮市,139.883592,36.565912,120.9
群馬県,前橋市,139.060453,36.390688,108.1
埼玉県,さいたま市,139.649012,35.857033,15.7
千葉県,千葉市,140.123154,35.60456,3.7
東京都,新宿区,139.691722,35.689501,35.0
神奈川県,横浜市,139.642537,35.447734,2.1
新潟県,新潟市,139.023245,37.902451,3.4
富山県,富山市,137.211305,36.695265,8.0
石川県,金沢市,136.625669,36.594606,5.6
福井県,福井市,136.22172,36.065209,11.7
山梨県,甲府市,138.568455,35.664108,270.0
長野県,長野市,138.180904,36.651306,371.5
岐阜県,岐阜市,136.723657,35.391174,8.0
静岡県,静岡市,138.383056,34.976944,22.2
愛知県,名古屋市,136.906582,35.180209,10.7
三重県,津市,136.508611,34.730278,17.9
滋賀県,大津市,135.868568,35.004513,94.9
京都府,京都市,135.755613,35.021242,47.6
大阪府,大阪市,135.520037,34.686344,15.8
兵庫県,神戸市,135.183078,34.691257,28.3
奈良県,奈良市,135.832861,34.685274,93.3
和歌山県,和歌山市,135.1675,34.226111,8.6
鳥取県,鳥取市,134.238261,35.503449,4.8
島根県,松江市,133.05052,35.472293,3.4
岡山県,岡山市,133.935032,34.661739,4.8
広島県,広島市,132.459646,34.396558,4.1
山口県,山口市,131.470654,34.186041,48.4
徳島県,徳島市,134.559286,34.065761,3.0
香川県,高松市,134.043291,34.340112,4.0
愛媛県,松山市,132.765682,33.841642,24.0
高知県,高知市,133.531111,33.559722,4.1
福岡県,福岡市,130.417968,33.606389,4.9
佐賀県,佐賀市,130.298792,33.249351,5.3
長崎県,長崎市,129.867251,32.75004,2.1
熊本県,熊本市,130.741584,32.7898,18.9
大分県,大分市,131.612645,33.23813,3.5
宮崎県,宮崎市,131.423887,31.911034,4.6
鹿児島県,鹿児島市,130.558025,31.560171,4.8
沖縄県,那覇市,127.680922,26.212445,8.5
